date,open,high,low,close,adj_close,volume
2022-06-09,147.080002,147.949997,142.529999,142.639999,142.206238,69473000
2022-06-08,148.580002,149.869995,147.460007,147.960007,147.510071,53950200
2022-06-07,144.350006,149,144.100006,148.710007,148.257782,67808200
2022-06-06,147.029999,148.570007,144.899994,146.139999,145.695602,71598400
2022-06-03,146.899994,147.970001,144.460007,145.380005,144.937912,88570300
2022-06-02,147.830002,151.270004,146.860001,151.210007,150.750183,72348100
2022-06-01,149.899994,151.740005,147.679993,148.710007,148.257782,74286600
2022-05-31,149.070007,150.660004,146.839996,148.839996,148.38739,103718400
2022-05-27,145.389999,149.679993,145.259995,149.639999,149.184952,90978500
2022-05-26,137.389999,144.339996,137.139999,143.779999,143.342758,90601500
2022-05-25,138.429993,141.789993,138.339996,140.520004,140.092697,92482700
2022-05-24,140.809998,141.970001,137.330002,140.360001,139.933167,104132700
2022-05-23,137.789993,143.259995,137.649994,143.110001,142.674805,117726300
2022-05-20,139.089996,140.699997,132.610001,137.589996,137.171585,137426100
2022-05-19,139.880005,141.660004,136.600006,137.350006,136.932327,136095600
2022-05-18,146.850006,147.360001,139.899994,140.820007,140.391785,109742900
2022-05-17,148.860001,149.770004,146.679993,149.240005,148.786179,78336300
2022-05-16,145.550003,147.520004,144.179993,145.539993,145.097427,86643800
2022-05-13,144.589996,148.100006,143.110001,147.110001,146.662659,113990900
2022-05-12,142.770004,146.199997,138.800003,142.559998,142.12648,182602000
2022-05-11,153.5,155.449997,145.809998,146.5,146.054504,142689800
2022-05-10,155.520004,156.740005,152.929993,154.509995,154.040131,115366700
2022-05-09,154.929993,155.830002,151.490005,152.059998,151.597595,131577900
2022-05-06,156.009995,159.440002,154.179993,157.279999,156.801712,116124600
2022-05-05,163.850006,164.080002,154.949997,156.770004,156.063995,130525300
2022-05-04,159.669998,166.479996,159.259995,166.020004,165.272324,108256500
2022-05-03,158.149994,160.710007,156.320007,159.479996,158.761765,88966500
2022-05-02,156.710007,158.229996,153.270004,157.960007,157.248627,123055300
2022-04-29,161.839996,166.199997,157.25,157.649994,156.940002,131747600
2022-04-28,159.25,164.520004,158.929993,163.639999,162.90303,130216800
2022-04-27,155.910004,159.789993,155.380005,156.570007,155.864883,88063200
2022-04-26,162.25,162.339996,156.720001,156.800003,156.093842,95623200
2022-04-25,161.119995,163.169998,158.460007,162.880005,162.146454,96046400
2022-04-22,166.460007,167.869995,161.5,161.789993,161.06134,84882400
2022-04-21,168.910004,171.529999,165.910004,166.419998,165.670517,87227800
2022-04-20,168.759995,168.880005,166.100006,167.229996,166.476868,67929800
2022-04-19,165.020004,167.820007,163.910004,167.399994,166.646088,67723800
2022-04-18,163.919998,166.600006,163.570007,165.070007,164.326599,69023900
2022-04-14,170.619995,171.270004,165.039993,165.289993,164.545593,75329400
2022-04-13,167.389999,171.039993,166.770004,170.399994,169.632584,70618900
2022-04-12,168.020004,169.869995,166.639999,167.660004,166.904938,79265200
2022-04-11,168.710007,169.029999,165.5,165.75,165.003525,72246700
2022-04-08,171.779999,171.779999,169.199997,170.089996,169.32399,76575500
2022-04-07,171.160004,173.360001,169.850006,172.139999,171.364746,77594700
2022-04-06,172.360001,173.630005,170.130005,171.830002,171.056152,89058800
2022-04-05,177.5,178.300003,174.419998,175.059998,174.271591,73401800
2022-04-04,174.570007,178.490005,174.440002,178.440002,177.636383,76468400
2022-04-01,174.029999,174.880005,171.940002,174.309998,173.524963,78751300
2022-03-31,177.839996,178.029999,174.399994,174.610001,173.823639,103049300
2022-03-30,178.550003,179.610001,176.699997,177.770004,176.969406,92633200
2022-03-29,176.690002,179.009995,176.339996,178.960007,178.154037,100589400
2022-03-28,172.169998,175.729996,172,175.600006,174.809189,90371900
2022-03-25,173.880005,175.279999,172.75,174.720001,173.933136,80546200
2022-03-24,171.059998,174.139999,170.210007,174.070007,173.286057,90131400
2022-03-23,167.990005,172.639999,167.649994,170.210007,169.443451,98062700
2022-03-22,165.509995,169.419998,164.910004,168.820007,168.059723,81532000
2022-03-21,163.509995,166.350006,163.009995,165.380005,164.635193,95811400
2022-03-18,160.509995,164.479996,159.759995,163.979996,163.241501,123511700
2022-03-17,158.610001,161,157.630005,160.619995,159.896637,75615400
2022-03-16,157.050003,160,154.460007,159.589996,158.871262,102300200
2022-03-15,150.899994,155.570007,150.380005,155.089996,154.391541,92964300
2022-03-14,151.449997,154.119995,150.100006,150.619995,149.941666,108732100
2022-03-11,158.929993,159.279999,154.5,154.729996,154.033157,96970100
2022-03-10,160.199997,160.389999,155.979996,158.520004,157.806107,105342000
2022-03-09,161.479996,163.410004,159.410004,162.949997,162.216141,91454900
2022-03-08,158.820007,162.880005,155.800003,157.440002,156.730957,131148300
2022-03-07,163.360001,165.020004,159.039993,159.300003,158.582581,96418800
2022-03-04,164.490005,165.550003,162.100006,163.169998,162.43515,83737200
2022-03-03,168.470001,168.910004,165.550003,166.229996,165.481369,76678400
2022-03-02,164.389999,167.360001,162.949997,166.559998,165.809875,79724800
2022-03-01,164.699997,166.600006,161.970001,163.199997,162.465012,83474400
2022-02-28,163.059998,165.419998,162.429993,165.119995,164.376373,95056600
2022-02-25,163.839996,165.119995,160.869995,164.850006,164.10759,91974200
2022-02-24,152.580002,162.850006,152,162.740005,162.00708,141147500
2022-02-23,165.539993,166.149994,159.75,160.070007,159.349121,90009200
2022-02-22,164.979996,166.690002,162.149994,164.320007,163.579971,91162800
2022-02-18,169.820007,170.539993,166.190002,167.300003,166.546539,82772700
2022-02-17,171.029999,171.910004,168.470001,168.880005,168.119446,69589300
2022-02-16,171.850006,173.339996,170.050003,172.550003,171.772903,61177400
2022-02-15,170.970001,172.949997,170.25,172.789993,172.01181,62527400
2022-02-14,167.369995,169.580002,166.559998,168.880005,168.119446,86185500
2022-02-11,172.330002,173.080002,168.039993,168.639999,167.880524,98670700
2022-02-10,174.139999,175.479996,171.550003,172.119995,171.344833,90865900
2022-02-09,176.050003,176.649994,174.899994,176.279999,175.486099,71285000
2022-02-08,171.729996,175.350006,171.429993,174.830002,174.042633,74829200
2022-02-07,172.860001,173.949997,170.949997,171.660004,170.886917,77251200
2022-02-04,171.679993,174.100006,170.679993,172.389999,171.613632,82465400
2022-02-03,174.479996,176.240005,172.119995,172.899994,171.902313,89418100
2022-02-02,174.75,175.880005,173.330002,175.839996,174.825348,84914300
2022-02-01,174.009995,174.839996,172.309998,174.610001,173.602448,86213900
2022-01-31,170.160004,175,169.509995,174.779999,173.771469,115541600
2022-01-28,165.710007,170.350006,162.800003,170.330002,169.347153,179935700
2022-01-27,162.449997,163.839996,158.279999,159.220001,158.301254,121954600
2022-01-26,163.5,164.389999,157.820007,159.690002,158.768539,108275300
2022-01-25,158.979996,162.759995,157.020004,159.779999,158.858017,115798400
2022-01-24,160.020004,162.300003,154.699997,161.619995,160.687393,162294600
2022-01-21,164.419998,166.330002,162.300003,162.410004,161.472855,122848900
2022-01-20,166.979996,169.679993,164.179993,164.509995,163.560715,91420500
2022-01-19,170,171.080002,165.940002,166.229996,165.270798,94815000
2022-01-18,171.509995,172.539993,169.410004,169.800003,168.820206,90956700
2022-01-14,171.339996,173.779999,171.089996,173.070007,172.07135,80440800
2022-01-13,175.779999,176.619995,171.789993,172.190002,171.196426,84505800
2022-01-12,176.119995,177.179993,174.820007,175.529999,174.517136,74805200
2022-01-11,172.320007,175.179993,170.820007,175.080002,174.069733,76138300
2022-01-10,169.080002,172.5,168.169998,172.190002,171.196426,106765600
2022-01-07,172.889999,174.139999,171.029999,172.169998,171.176529,86709100
2022-01-06,172.699997,175.300003,171.639999,172,171.007523,96904000
2022-01-05,179.610001,180.169998,174.639999,174.919998,173.91066,94537600
2022-01-04,182.630005,182.940002,179.119995,179.699997,178.663071,99310400
2022-01-03,177.830002,182.880005,177.710007,182.009995,180.959732,104487900
2021-12-31,178.089996,179.229996,177.259995,177.570007,176.54538,64062300
2021-12-30,179.470001,180.570007,178.089996,178.199997,177.171722,59773000
2021-12-29,179.330002,180.630005,178.139999,179.380005,178.344925,62348900
2021-12-28,180.160004,181.330002,178.529999,179.289993,178.255432,79144300
2021-12-27,177.089996,180.419998,177.070007,180.330002,179.289444,74919600
2021-12-23,175.850006,176.850006,175.270004,176.279999,175.262802,68356600
2021-12-22,173.039993,175.860001,172.149994,175.639999,174.626511,92135300
2021-12-21,171.559998,173.199997,169.119995,172.990005,171.991791,91185900
2021-12-20,168.279999,170.580002,167.460007,169.75,168.770493,107499100
2021-12-17,169.929993,173.470001,169.690002,171.139999,170.152466,195432700
2021-12-16,179.279999,181.139999,170.75,172.259995,171.265991,150185800
2021-12-15,175.110001,179.5,172.309998,179.300003,178.265396,131063300
2021-12-14,175.25,177.740005,172.210007,174.330002,173.324066,139380400
2021-12-13,181.119995,182.130005,175.529999,175.740005,174.725937,153237000
2021-12-10,175.210007,179.630005,174.690002,179.449997,178.41452,115402700
2021-12-09,174.910004,176.75,173.919998,174.559998,173.552734,108923700
